RT	Window.Low	Window.High	204.087
0.123234	700.568	705.571	0
0.123448	705.571	710.573	0
0.123612	710.573	715.575	0
0.123804	715.575	720.577	0
0.123968	720.577	725.58	0
0.124131	725.58	730.582	0
0.124295	730.582	735.584	0
0.12451	735.584	740.587	0
0.124699	740.587	745.589	0
0.124865	745.589	750.591	0
0.125056	750.591	755.593	0
0.125245	755.593	760.596	0
0.125443	760.596	765.598	0
0.125632	765.598	770.6	0
0.125795	770.6	775.602	0
0.125985	775.602	780.605	0
0.126173	780.605	785.607	0
0.126362	785.607	790.609	100.883
0.126526	790.609	795.612	0
0.126715	795.612	800.614	0
0.126879	800.614	805.616	0
0.127067	805.616	810.618	0
0.127256	810.618	815.621	0
0.12742	815.621	820.623	0
0.127609	820.623	825.625	162.829
0.127799	825.625	830.627	0
0.127988	830.627	835.63	119.147
0.128177	835.63	840.632	98.9148
0.128341	840.632	845.634	0
0.128505	845.634	850.637	0
0.128693	850.637	855.639	0
0.128858	855.639	860.641	76.1855
0.129022	860.641	865.643	71.0895
0.129186	865.643	870.646	0
0.12935	870.646	875.648	216.346
0.129514	875.648	880.65	68.8512
0.129678	880.65	885.652	178.001
0.129867	885.652	890.655	0
0.130031	890.655	895.657	341.812
0.130245	895.657	900.659	0
0.130434	900.659	905.662	0
0.1306	905.662	910.664	0
0.130764	910.664	915.666	0
0.131069	915.666	920.668	104.969
0.132014	920.668	925.671	0
0.132203	925.671	930.673	0
0.132381	930.673	935.675	79.7676
0.132569	935.675	940.677	0
0.132761	940.677	945.68	0
0.132929	945.68	950.682	170.944
0.133118	950.682	955.684	0
0.133287	955.684	960.687	0
0.133453	960.687	965.689	138.811
0.13362	965.689	970.691	0
0.133784	970.691	975.693	210.788
0.133973	975.693	980.696	0
0.134162	980.696	985.698	90.1467
0.134326	985.698	990.7	0
0.1345	990.7	995.702	0
0.134668	995.702	1000.7	63.9369
0.134841	1000.7	1005.71	127.218
0.135013	1005.71	1010.71	59.7282
0.135186	1010.71	1015.71	318.843
0.135375	1015.71	1020.71	0
0.135547	1020.71	1025.72	0
0.13572	1025.72	1030.72	110.812
0.135893	1030.72	1035.72	0
0.136066	1035.72	1040.72	0
0.136255	1040.72	1045.73	154.587
0.136428	1045.73	1050.73	189.653
0.136601	1050.73	1055.73	583.723
0.13679	1055.73	1060.73	0
0.136963	1060.73	1065.73	75.9822
0.137136	1065.73	1070.74	0
0.13731	1070.74	1075.74	0
0.137483	1075.74	1080.74	197.35
0.137724	380.423	385.425	129.713
0.137888	385.425	390.427	0
0.138054	390.427	395.43	0
0.138221	395.43	400.432	0
0.138387	400.432	405.434	113.546
0.138579	405.434	410.436	0
0.138768	410.436	415.439	0
0.138932	415.439	420.441	0
0.139095	420.441	425.443	0
0.139259	425.443	430.446	0
0.139434	430.446	435.448	0
0.139598	435.448	440.45	0
0.139764	440.45	445.452	0
0.139956	445.452	450.455	0
0.140124	450.455	455.457	0
0.140288	455.457	460.459	0
0.140452	460.459	465.461	0
0.140791	465.461	470.464	0
0.140981	470.464	475.466	0
0.141929	475.466	480.468	0
0.142093	480.468	485.471	0
0.142282	485.471	490.473	0
0.142449	490.473	495.475	0
0.142615	495.475	500.477	0
